"quant","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",0
"all",1991,"unique","1","unique","1",0
"all",1992,"unique","1","unique","1",0
"all",1993,"unique","1","unique","1",0
"all",1994,"unique","1","unique","1",0
"all",1995,"unique","1","unique","1",0
"all",1996,"unique","1","unique","1",0
"all",1997,"unique","1","unique","1",0
"all",1998,"unique","1","unique","1",0
"all",1999,"unique","1","unique","1",0
"all",2000,"unique","1","unique","1",0
"all",2001,"unique","1","unique","1",0.230987693
"all",2002,"unique","1","unique","1",0.28307393
"all",2003,"unique","1","unique","1",0.172302738
"all",2004,"unique","1","unique","1",0.270360728
"all",2005,"unique","1","unique","1",0.166201674
"all",2006,"unique","1","unique","1",1
"all",2007,"unique","1","unique","1",0.524626453
"all",2008,"unique","1","unique","1",0.329552239
"all",1990,"unique","2","unique","1",0
"all",1991,"unique","2","unique","1",0
"all",1992,"unique","2","unique","1",0
"all",1993,"unique","2","unique","1",0
"all",1994,"unique","2","unique","1",0
"all",1995,"unique","2","unique","1",0
"all",1996,"unique","2","unique","1",0
"all",1997,"unique","2","unique","1",0
"all",1998,"unique","2","unique","1",0
"all",1999,"unique","2","unique","1",0
"all",2000,"unique","2","unique","1",0
"all",2001,"unique","2","unique","1",0.451742214
"all",2002,"unique","2","unique","1",0.289465741
"all",2003,"unique","2","unique","1",0.191459573
"all",2004,"unique","2","unique","1",0.203041825
"all",2005,"unique","2","unique","1",0.235507247
"all",2006,"unique","2","unique","1",0.867783985
"all",2007,"unique","2","unique","1",0.21037037
"all",2008,"unique","2","unique","1",0.154834348
"all",1990,"unique","3","unique","1",0
"all",1991,"unique","3","unique","1",0
"all",1992,"unique","3","unique","1",0
"all",1993,"unique","3","unique","1",0
"all",1994,"unique","3","unique","1",0
"all",1995,"unique","3","unique","1",0
"all",1996,"unique","3","unique","1",0
"all",1997,"unique","3","unique","1",0
"all",1998,"unique","3","unique","1",0
"all",1999,"unique","3","unique","1",0
"all",2000,"unique","3","unique","1",0
"all",2001,"unique","3","unique","1",0.405198777
"all",2002,"unique","3","unique","1",0.308775731
"all",2003,"unique","3","unique","1",0.336641221
"all",2004,"unique","3","unique","1",0.242550243
"all",2005,"unique","3","unique","1",0.176999101
"all",2006,"unique","3","unique","1",0.933649289
"all",2007,"unique","3","unique","1",0.320949432
"all",2008,"unique","3","unique","1",0.162686567
"all",1990,"unique","4","unique","1",0
"all",1991,"unique","4","unique","1",0
"all",1992,"unique","4","unique","1",0
"all",1993,"unique","4","unique","1",0
"all",1994,"unique","4","unique","1",0
"all",1995,"unique","4","unique","1",0
"all",1996,"unique","4","unique","1",0
"all",1997,"unique","4","unique","1",0
"all",1998,"unique","4","unique","1",0
"all",1999,"unique","4","unique","1",0
"all",2000,"unique","4","unique","1",0
"all",2001,"unique","4","unique","1",0.295371499
"all",2002,"unique","4","unique","1",0.269137302
"all",2003,"unique","4","unique","1",0.304721031
"all",2004,"unique","4","unique","1",0.411024306
"all",2005,"unique","4","unique","1",0.471074381
"all",2006,"unique","4","unique","1",1
"all",2007,"unique","4","unique","1",0.068769716
"all",2008,"unique","4","unique","1",0.642450142
